roll_no,course_code,grade
2023003492,CSEN2011,A+
2023003492,CSEN2021,A
2023003492,CSEN3151,B+
2023003492,MATH2361,A
2023002455,CSEN1101,B+
2023002455,CSEN2011,B
2023002455,CSEN2021,B
2023002455,CSEN3151,P
2023002455,MATH2361,B+
2023003903,CSEN1101,B+
2023003903,CSEN2011,B+
2023003903,CSEN2021,F
2023003903,CSEN3151,B+
2023003903,MATH2361,B+
2023000443,CSEN2011,O
2023000443,CSEN2021,A+
2023000443,MATH2361,B+
2023004193,CSEN2021,B+
2023004193,MATH2361,B+
2023004148,CSEN2021,B+
2023004148,MATH2361,A
2023000042,CSEN1101,B+
2023000042,CSEN2011,B
2023000042,CSEN2021,B+
2023000042,CSEN3151,B
2023000042,MATH2361,F
2023003557,CSEN2011,A
2023003557,CSEN2021,B+
2023003557,MATH2361,F
2023005387,CSEN2011,F
2023005387,CSEN2021,B
2023005387,MATH2361,B
2023002330,CSEN2011,B+
2023002330,CSEN2021,A
2023002330,MATH2361,B+
2023000179,CSEN2011,B+
2023000179,CSEN2021,C
2023000179,MATH2361,F
2023000683,CSEN2011,B
2023000683,CSEN2021,B+
2023000683,MATH2361,B+
2023005082,CSEN1101,A+
2023005082,CSEN2011,B+
2023005082,CSEN2021,A
2023005082,MATH2361,B+
2023002198,CSEN1101,B
2023002198,CSEN2011,B+
2023002198,CSEN2021,C
2023002198,MATH2361,B+
2023004411,CSEN2011,C
2023004411,MATH2361,A
2023000009,CSEN2011,A+
2023000009,MATH2361,B+
2023000047,CSEN2011,B+
2023000047,MATH2361,B
2023002397,CSEN2011,B
2023002397,MATH2361,B
2023002808,CSEN2011,B+
2023002808,MATH2361,A
2023000534,CSEN2011,B+
2023000534,MATH2361,B+
2023002307,CSEN2011,B+
2023002307,MATH2361,C
2023002136,CSEN1101,B
2023002136,CSEN2011,F
2023002136,CSEN2021,B
2023002136,MATH2361,B+
2023001342,CSEN1101,A
2023001342,CSEN2011,B+
2023001342,CSEN2021,B+
2023001342,MATH2361,B+
2023000652,CSEN1101,B+
2023000652,CSEN2011,B+
2023000652,CSEN2021,B+
2023000652,MATH2361,F
2023000633,CSEN1101,B
2023000633,CSEN2011,F
2023000633,CSEN2021,B
2023000633,MATH2361,B+
2023006791,CSEN1101,C
2023006791,CSEN2011,B+
2023006791,CSEN2021,B+
2023006791,MATH2361,F
2023000694,CSEN1101,B+
2023000694,CSEN2011,B+
2023000694,CSEN2021,B+
2023000694,MATH2361,B
2023001209,CSEN1101,B+
2023001209,CSEN2011,B+
2023001209,CSEN2021,B+
2023001209,MATH2361,F
2023000831,CSEN1101,A
2023000831,CSEN2011,B+
2023000831,CSEN2021,A
2023000831,MATH2361,F
2023001599,CSEN1101,C
2023001599,CSEN2011,B+
2023001599,CSEN2021,B
2023001599,MATH2361,B
2023001072,CSEN1101,B+
2023001072,CSEN2011,B+
2023001072,CSEN2021,B+
2023001072,MATH2361,B
2023006223,CSEN1101,O
2023006223,CSEN2011,O
2023006223,CSEN2021,B+
2023006223,MATH2361,A+
2023000970,CSEN1101,B+
2023000970,CSEN2011,B+
2023000970,CSEN2021,B+
2023000970,MATH2361,B
2023001338,CSEN1101,F
2023001338,CSEN2011,C
2023001338,MATH2361,B+
2023000090,CSEN1101,B+
2023000090,CSEN2011,A
2023000090,MATH2361,B+
2023003850,CSEN1101,B+
2023003850,CSEN2011,A
2023003850,MATH2361,C
2023004014,CSEN1101,B+
2023004014,MATH2361,B+
2023002608,CSEN1101,B+
2023002608,MATH2361,F
2023001020,CSEN1101,B+
2023001020,MATH2361,F
2023003548,MATH2361,F
2023002343,MATH2361,B+
2023001795,MATH2361,B+
2023002385,MATH2361,F
2023000647,MATH2361,B+
2023001491,MATH2361,B+
2023000349,MATH2361,R
2023001440,MATH2361,F
2023003339,MATH2361,A+
2023000563,MATH2361,B+
2023001354,MATH2361,B+
2023002339,MATH2361,F
2023001080,MATH2361,A
2023001422,MATH2361,C
2023000649,MATH2361,B+
2023006766,MATH2361,F
2023000874,MATH2361,B
2023005411,MATH2361,F
2023000494,MATH2361,A
2023000099,MATH2361,B
2023004559,MATH2361,O
2023000660,MATH2361,C
2023001391,MATH2361,C
